subject_id	object_id	object_id	predicate_id	predicate_id	mapping_justification	mapping_justification	match_string	mapping_tool	mapping_date
HP:0001890	NCIT:C34378	mesh:D000744	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002880	umls_ingest	2023-11-27
HP:0004804	NCIT:C34379	mesh:D000745	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002881	umls_ingest	2023-11-27
HP:0001931	NCIT:C34380	mesh:D000747	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002884	umls_ingest	2023-11-27
HP:0001972	NCIT:C34381	mesh:D000748	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002886	umls_ingest	2023-11-27
HP:0001889	NCIT:C34382	mesh:D000749	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002888	umls_ingest	2023-11-27
HP:0005505	NCIT:C2872	mesh:D000753	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002893	umls_ingest	2023-11-27
HP:0001924	NCIT:C36078	mesh:D000756	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002896	umls_ingest	2023-11-27
HP:0002323	NCIT:C84560	mesh:D000757	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002902	umls_ingest	2023-11-27
HP:0002617	NCIT:C26693	mesh:D000783	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002940	umls_ingest	2023-11-27
HP:0005294	NCIT:C26694	mesh:D000094665	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002949	umls_ingest	2023-11-27
HP:0005294	NCIT:C99704	mesh:D000094665	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002949	umls_ingest	2023-11-27
HP:0001681	NCIT:C51221	mesh:D000787	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002962	umls_ingest	2023-11-27
HP:0001014	NCIT:C2874	mesh:D000794	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002985	umls_ingest	2023-11-27
HP:0001071	NCIT:C84701	mesh:D000795	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002986	umls_ingest	2023-11-27
HP:0100665	NCIT:C112175	mesh:D000799	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0002994	umls_ingest	2023-11-27
HP:0000970	NCIT:C34385	mesh:D007007	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003028	umls_ingest	2023-11-27
HP:0000526	NCIT:C84563	mesh:D015783	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0003076	umls_ingest	2023-11-27
