subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
hp:HP:0000458	mesh:D000086582	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003126	umls_ingest	2023-09-06
hp:HP:0033375	mesh:D055008	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003165	umls_ingest	2023-09-06
hp:HP:0100519	mesh:D001002	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003460	umls_ingest	2023-09-06
hp:HP:0032186	mesh:D001005	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003463	umls_ingest	2023-09-06
hp:HP:0002023	mesh:D001006	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003466	umls_ingest	2023-09-06
hp:HP:0000739	mesh:D001007	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003467	umls_ingest	2023-09-06
hp:HP:0004942	mesh:D001014	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003486	umls_ingest	2023-09-06
hp:HP:0001680	mesh:D001017	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003492	umls_ingest	2023-09-06
hp:HP:0031649	mesh:D001019	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003496	umls_ingest	2023-09-06
hp:HP:0004381	mesh:D021921	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003499	umls_ingest	2023-09-06
hp:HP:0001659	mesh:D001022	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003504	umls_ingest	2023-09-06
hp:HP:0025578	mesh:D001023	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003505	umls_ingest	2023-09-06
hp:HP:0001650	mesh:D001024	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003507	umls_ingest	2023-09-06
hp:HP:0011604	mesh:D001028	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003516	umls_ingest	2023-09-06
hp:HP:0002381	mesh:D001037	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003537	umls_ingest	2023-09-06
hp:HP:0002427	mesh:D001039	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003550	umls_ingest	2023-09-06
hp:HP:0001686	mesh:D001044	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003564	umls_ingest	2023-09-06
hp:HP:0002104	mesh:D001049	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003578	umls_ingest	2023-09-06
hp:HP:0002186	mesh:D001072	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003635	umls_ingest	2023-09-06
hp:HP:0040192	mesh:D001079	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0003650	umls_ingest	2023-09-06
